# InputID	ID	Mag	Magerr	RA	Decl	MJD	Blend
DESJ0407-5006	3049021004248	17.88	0.19	61.79285	-50.10035	54062.54649	0
DESJ0407-5006	3049021004248	17.93	0.25	61.79283	-50.10033	54068.58928	0
DESJ0407-5006	3049021004248	17.79	0.23	61.79249	-50.10019	54068.59537	0
DESJ0407-5006	3049021004248	17.95	0.25	61.79261	-50.10045	54068.60144	0
DESJ0407-5006	3049021004248	17.91	0.25	61.79279	-50.10049	54068.60752	0
DESJ0407-5006	3049021004248	17.70	0.21	61.79257	-50.10020	54013.69697	0
DESJ0407-5006	3049021004248	18.03	0.25	61.79271	-50.10037	54013.70596	0
DESJ0407-5006	3049021004248	17.92	0.24	61.79292	-50.10040	54013.71483	0
DESJ0407-5006	3049021004248	17.71	0.22	61.79289	-50.10034	54013.72357	0
DESJ0407-5006	3049021004248	17.84	0.23	61.79270	-50.10027	54032.66542	0
DESJ0407-5006	3049021004248	17.63	0.21	61.79274	-50.10037	54032.67634	0
DESJ0407-5006	3049021004248	17.86	0.24	61.79285	-50.10031	54032.68739	0
DESJ0407-5006	3049021004248	17.93	0.25	61.79278	-50.10034	54032.69824	0
DESJ0407-5006	3049021004248	17.85	0.23	61.79280	-50.10032	53980.76859	0
DESJ0407-5006	3049021004248	17.76	0.22	61.79276	-50.10032	53993.76415	0
DESJ0407-5006	3049021004248	18.05	0.25	61.79283	-50.10028	53993.77211	0
DESJ0407-5006	3049021004248	17.98	0.24	61.79265	-50.10028	53993.78008	0
DESJ0407-5006	3049021004248	17.76	0.22	61.79283	-50.10030	53993.78803	0
DESJ0407-5006	3049021004248	17.65	0.20	61.79267	-50.10042	53993.79602	0
DESJ0407-5006	3049021004248	17.78	0.24	61.79289	-50.10037	54000.77416	0
DESJ0407-5006	3049021004248	17.69	0.23	61.79270	-50.10036	54212.36331	0
DESJ0407-5006	3049021004248	17.61	0.22	61.79276	-50.10027	54212.36845	0
DESJ0407-5006	3049021004248	17.68	0.23	61.79267	-50.10043	54212.37364	0
DESJ0407-5006	3049021004248	17.42	0.20	61.79261	-50.10017	54212.37881	0
DESJ0407-5006	3049021004248	17.68	0.26	61.79268	-50.10032	54462.55797	0
DESJ0407-5006	3049021004248	17.69	0.26	61.79276	-50.10026	54462.56671	0
DESJ0407-5006	3049021004248	17.69	0.26	61.79257	-50.10038	54462.57547	0
DESJ0407-5006	3049021004248	17.59	0.25	61.79288	-50.10020	54462.58425	0
DESJ0407-5006	3049021004248	17.93	0.27	61.79282	-50.10041	54118.51397	0
DESJ0407-5006	3049021004248	17.99	0.55	61.79259	-50.10041	54118.52272	0
DESJ0407-5006	3049021004248	17.76	0.23	61.79281	-50.10022	54119.48966	0
DESJ0407-5006	3049021004248	17.76	0.23	61.79270	-50.10027	54119.49839	0
DESJ0407-5006	3049021004248	17.88	0.24	61.79267	-50.10031	54119.50712	0
DESJ0407-5006	3049021004248	17.79	0.23	61.79268	-50.10030	54119.51590	0
DESJ0407-5006	3049021004248	17.84	0.26	61.79298	-50.10030	54178.44957	0
DESJ0407-5006	3049021004248	17.89	0.27	61.79275	-50.10022	54178.45401	0
DESJ0407-5006	3049021004248	17.68	0.24	61.79259	-50.10021	54178.45845	0
DESJ0407-5006	3049021004248	17.87	0.27	61.79270	-50.10027	54178.46291	0
DESJ0407-5006	3049021004248	17.86	0.19	61.79292	-50.10028	54417.72099	0
DESJ0407-5006	3049021004248	17.84	0.19	61.79267	-50.10029	54417.73250	0
DESJ0407-5006	3049021004248	17.95	0.20	61.79281	-50.10034	54417.74345	0
DESJ0407-5006	3049021004248	17.78	0.21	61.79278	-50.10029	54418.55166	0
DESJ0407-5006	3049021004248	17.72	0.23	61.79286	-50.10034	54418.56102	0
DESJ0407-5006	3049021004248	17.85	0.19	61.79272	-50.10030	54418.57042	0
DESJ0407-5006	3049021004248	17.80	0.18	61.79275	-50.10037	54418.57979	0
DESJ0407-5006	3049021004248	17.94	0.19	61.79272	-50.10030	54418.58926	0
DESJ0407-5006	3049021004248	17.82	0.24	61.79273	-50.10030	54393.69055	0
DESJ0407-5006	3049021004248	17.85	0.24	61.79266	-50.10028	54393.70014	0
DESJ0407-5006	3049021004248	17.77	0.23	61.79281	-50.10033	54393.70964	0
DESJ0407-5006	3049021004248	17.76	0.23	61.79256	-50.10023	54393.71913	0
DESJ0407-5006	3049021004248	17.82	0.23	61.79275	-50.10028	54355.72240	0
DESJ0407-5006	3049021004248	17.75	0.22	61.79273	-50.10041	54355.73015	0
DESJ0407-5006	3049021004248	17.86	0.23	61.79266	-50.10031	54355.73791	0
DESJ0407-5006	3049021004248	17.84	0.23	61.79266	-50.10032	54355.74577	0
DESJ0407-5006	3049021004248	17.57	0.19	61.79268	-50.10030	54808.54376	0
DESJ0407-5006	3049021004248	17.64	0.20	61.79266	-50.10025	54808.55275	0
DESJ0407-5006	3049021004248	17.58	0.19	61.79285	-50.10029	54808.56176	0
DESJ0407-5006	3049021004248	17.67	0.20	61.79260	-50.10046	54808.57073	0
DESJ0407-5006	3049021004248	17.72	0.18	61.79263	-50.10026	54509.42678	0
DESJ0407-5006	3049021004248	17.73	0.18	61.79276	-50.10032	54509.43771	0
DESJ0407-5006	3049021004248	17.80	0.19	61.79280	-50.10024	54509.44861	0
DESJ0407-5006	3049021004248	17.68	0.18	61.79275	-50.10030	54509.45951	0
DESJ0407-5006	3049021004248	17.64	0.17	61.79264	-50.10025	54531.44152	0
DESJ0407-5006	3049021004248	17.74	0.18	61.79272	-50.10027	54531.44806	0
DESJ0407-5006	3049021004248	17.88	0.20	61.79267	-50.10030	54531.45464	0
DESJ0407-5006	3049021004248	17.67	0.18	61.79281	-50.10025	54531.46120	0
DESJ0407-5006	3049021004248	17.55	0.15	61.79283	-50.10029	54754.68513	0
DESJ0407-5006	3049021004248	17.82	0.17	61.79268	-50.10018	54754.69663	0
DESJ0407-5006	3049021004248	17.63	0.16	61.79289	-50.10039	54754.70812	0
DESJ0407-5006	3049021004248	17.68	0.16	61.79263	-50.10012	54754.71960	0
DESJ0407-5006	3049021004248	17.65	0.15	61.79288	-50.10031	54721.67781	0
DESJ0407-5006	3049021004248	17.49	0.14	61.79278	-50.10029	54721.68113	0
DESJ0407-5006	3049021004248	17.36	0.14	61.79232	-50.10038	54721.68445	0
DESJ0407-5006	3049021004248	17.56	0.15	61.79277	-50.10041	54721.68775	0
DESJ0407-5006	3049021004248	17.55	0.15	61.79269	-50.10035	55188.53586	0
DESJ0407-5006	3049021004248	17.61	0.15	61.79277	-50.10036	55188.54180	0
DESJ0407-5006	3049021004248	17.56	0.15	61.79283	-50.10022	55188.54773	0
DESJ0407-5006	3049021004248	17.58	0.15	61.79281	-50.10019	55188.55374	0
DESJ0407-5006	3049021004248	17.58	0.15	61.79265	-50.10028	54866.47514	0
DESJ0407-5006	3049021004248	17.42	0.14	61.79262	-50.10030	54866.48160	0
DESJ0407-5006	3049021004248	17.71	0.16	61.79277	-50.10023	54866.48805	0
DESJ0407-5006	3049021004248	17.72	0.16	61.79276	-50.10027	54866.49457	0
DESJ0407-5006	3049021004248	17.52	0.14	61.79262	-50.10027	54836.53438	0
DESJ0407-5006	3049021004248	17.56	0.15	61.79278	-50.10027	54836.54576	0
DESJ0407-5006	3049021004248	17.58	0.15	61.79282	-50.10024	54836.55711	0
DESJ0407-5006	3049021004248	17.60	0.15	61.79268	-50.10021	54836.56846	0
DESJ0407-5006	3049021004248	17.67	0.16	61.79277	-50.10028	54895.40693	0
DESJ0407-5006	3049021004248	17.71	0.16	61.79270	-50.10015	54895.41335	0
DESJ0407-5006	3049021004248	17.80	0.17	61.79267	-50.10028	54895.41978	0
DESJ0407-5006	3049021004248	17.71	0.16	61.79283	-50.10026	54895.42621	0
DESJ0407-5006	3049021004248	17.64	0.16	61.79283	-50.10031	54913.39944	0
DESJ0407-5006	3049021004248	17.65	0.16	61.79271	-50.10024	54913.40587	0
DESJ0407-5006	3049021004248	17.56	0.15	61.79273	-50.10026	54913.41230	0
DESJ0407-5006	3049021004248	17.62	0.16	61.79284	-50.10025	54913.41875	0
DESJ0407-5006	3049021004248	17.69	0.14	61.79276	-50.10029	55155.60660	0
DESJ0407-5006	3049021004248	17.42	0.13	61.79290	-50.10041	55155.61952	0
DESJ0407-5006	3049021004248	17.68	0.14	61.79294	-50.10035	55155.63243	0
DESJ0407-5006	3049021004248	17.66	0.14	61.79271	-50.10022	55155.64538	0
DESJ0407-5006	3049021004248	17.79	0.19	61.79271	-50.10025	55126.63497	0
DESJ0407-5006	3049021004248	17.68	0.21	61.79273	-50.10018	55126.64299	0
DESJ0407-5006	3049021004248	17.48	0.19	61.79279	-50.10022	55126.65100	0
DESJ0407-5006	3049021004248	17.53	0.16	61.79269	-50.10034	55126.65903	0
DESJ0407-5006	3049021004248	17.72	0.20	61.79271	-50.10028	55094.64237	0
DESJ0407-5006	3049021004248	17.60	0.19	61.79274	-50.10036	55094.65076	0
DESJ0407-5006	3049021004248	17.67	0.19	61.79266	-50.10032	55094.65908	0
DESJ0407-5006	3049021004248	17.69	0.19	61.79284	-50.10023	55094.66742	0
DESJ0407-5006	3049021004248	17.42	0.15	61.79283	-50.10020	55551.62199	0
DESJ0407-5006	3049021004248	17.46	0.15	61.79265	-50.10028	55551.64707	0
DESJ0407-5006	3049021004248	17.62	0.21	61.79282	-50.10038	55274.44935	0
DESJ0407-5006	3049021004248	17.71	0.17	61.79277	-50.10038	55505.71347	0
DESJ0407-5006	3049021004248	17.54	0.14	61.79277	-50.10036	55505.74106	0
DESJ0407-5006	3049021004248	17.73	0.17	61.79274	-50.10034	55518.60667	0
DESJ0407-5006	3049021004248	17.77	0.17	61.79260	-50.10024	55518.64027	0
DESJ0407-5006	3049021004248	17.72	0.17	61.79275	-50.10035	55618.47073	0
DESJ0407-5006	3049021004248	17.68	0.17	61.79287	-50.10033	55618.49750	0
DESJ0407-5006	3049021004248	17.63	0.16	61.79273	-50.10019	55591.51384	0
DESJ0407-5006	3049021004248	17.60	0.16	61.79265	-50.10029	55591.53335	0
DESJ0407-5006	3049021004248	17.77	0.22	61.79268	-50.10034	53980.77238	0
DESJ0407-5006	3049021004248	17.58	0.33	61.79268	-50.10013	53980.77863	0
DESJ0407-5006	3049021004248	18.07	0.33	61.79267	-50.10033	53980.78491	0
DESJ0407-5006	3049021004248	17.51	1.00	61.79263	-50.09933	53980.79118	0
DESJ0407-5006	3049021004248	17.62	0.14	61.79273	-50.10028	55475.69296	0
DESJ0407-5006	3049021004248	17.70	0.15	61.79282	-50.10029	55475.72503	0
DESJ0407-5006	3049021004248	17.65	0.12	61.79268	-50.10029	55821.66638	0
DESJ0407-5006	3049021004248	17.67	0.12	61.79270	-50.10021	55821.68166	0
DESJ0407-5006	3049021004248	17.73	0.13	61.79283	-50.10032	55821.69691	0
DESJ0407-5006	3049021004248	17.61	0.12	61.79259	-50.10037	55821.71215	0
DESJ0407-5006	3049021004248	17.69	0.16	61.79274	-50.10027	55866.64872	0
DESJ0407-5006	3049021004248	17.64	0.16	61.79275	-50.10033	55866.65938	0
DESJ0407-5006	3049021004248	17.81	0.17	61.79274	-50.10033	55866.67009	0
DESJ0407-5006	3049021004248	17.78	0.17	61.79280	-50.10029	55866.71787	0
DESJ0407-5006	3049021004248	17.65	0.11	61.79285	-50.10023	56223.72484	0
DESJ0407-5006	3049021004248	17.74	0.11	61.79282	-50.10027	56223.73425	0
DESJ0407-5006	3049021004248	17.72	0.11	61.79278	-50.10035	56223.74374	0
DESJ0407-5006	3049021004248	17.73	0.11	61.79292	-50.10026	56223.75332	0
DESJ0407-5006	3049021004248	17.69	0.15	61.79274	-50.10020	56264.54944	0
DESJ0407-5006	3049021004248	17.42	0.13	61.79294	-50.10034	56264.56310	0
DESJ0407-5006	3049021004248	17.57	0.14	61.79275	-50.10028	56264.57647	0
DESJ0407-5006	3049021004248	17.51	0.14	61.79285	-50.10025	56264.58966	0
DESJ0407-5006	3049021004248	17.63	0.14	61.79274	-50.10041	56393.38772	0
DESJ0407-5006	3049021004248	17.65	0.15	61.79281	-50.10021	56393.39312	0
DESJ0407-5006	3049021004248	17.54	0.14	61.79278	-50.10034	56393.39847	0
DESJ0407-5006	3049021004248	17.57	0.14	61.79272	-50.10044	56393.40382	0
DESJ0407-5006	3049021004248	17.67	0.21	61.79271	-50.10026	55274.45498	0
DESJ0407-5006	3049021004248	17.77	0.23	61.79267	-50.10025	55274.46073	0
DESJ0407-5006	3049021004248	17.82	0.23	61.79283	-50.10035	55274.46650	0
DESJ0407-5006	3049021004248	17.66	0.15	61.79264	-50.10035	55505.72266	0
DESJ0407-5006	3049021004248	17.73	0.15	61.79285	-50.10027	55505.73186	0
DESJ0407-5006	3049021004248	17.67	0.16	61.79276	-50.10023	55518.61781	0
DESJ0407-5006	3049021004248	17.61	0.16	61.79292	-50.10029	55518.62908	0
DESJ0407-5006	3049021004248	17.24	0.13	61.79279	-50.10027	55551.63029	0
DESJ0407-5006	3049021004248	17.43	0.15	61.79254	-50.10037	55551.63870	0
SDSSJ0904+1512	1115047023830	17.40	0.09	136.01733	15.21510	53469.18413	0
SDSSJ0904+1512	1115047023830	17.53	0.10	136.01730	15.21506	53469.19222	0
SDSSJ0904+1512	1115047023830	17.54	0.10	136.01739	15.21505	53469.20037	0
SDSSJ0904+1512	1115047023830	17.47	0.09	136.01733	15.21507	53469.20854	0
SDSSJ0904+1512	1115047023830	17.58	0.10	136.01726	15.21511	53726.42031	0
SDSSJ0904+1512	1115047023830	17.62	0.10	136.01728	15.21508	53726.43071	0
SDSSJ0904+1512	1115047023830	17.51	0.10	136.01741	15.21508	53726.44112	0
SDSSJ0904+1512	1115047023830	17.66	0.10	136.01740	15.21513	53726.45145	0
SDSSJ0904+1512	1115047023830	17.61	0.11	136.01744	15.21517	53500.12723	0
SDSSJ0904+1512	1115047023830	17.59	0.11	136.01724	15.21517	53500.13101	0
SDSSJ0904+1512	1115047023830	17.66	0.12	136.01731	15.21521	53500.13479	0
SDSSJ0904+1512	1115047023830	17.51	0.11	136.01724	15.21519	53500.13859	0
SDSSJ0904+1512	1115047023830	17.46	0.09	136.01728	15.21509	53688.44305	0
SDSSJ0904+1512	1115047023830	17.49	0.10	136.01733	15.21523	53688.44952	0
SDSSJ0904+1512	1115047023830	17.55	0.10	136.01745	15.21509	53688.45596	0
SDSSJ0904+1512	1115047023830	17.50	0.10	136.01744	15.21525	53688.46409	0
SDSSJ0904+1512	1115047023830	17.71	0.10	136.01736	15.21526	53703.45218	0
SDSSJ0904+1512	1115047023830	17.66	0.10	136.01743	15.21515	53703.45814	0
SDSSJ0904+1512	1115047023830	17.52	0.10	136.01731	15.21504	53654.47840	0
SDSSJ0904+1512	1115047023830	17.65	0.10	136.01738	15.21510	53654.48271	0
SDSSJ0904+1512	1115047023830	17.47	0.10	136.01736	15.21510	53654.48716	0
SDSSJ0904+1512	1115047023830	17.59	0.10	136.01732	15.21512	53654.49148	0
SDSSJ0904+1512	1115047023830	17.65	0.10	136.01730	15.21512	53670.46571	0
SDSSJ0904+1512	1115047023830	17.51	0.10	136.01739	15.21515	53670.47057	0
SDSSJ0904+1512	1115047023830	17.57	0.10	136.01728	15.21510	53670.47545	0
SDSSJ0904+1512	1115047023830	17.55	0.10	136.01739	15.21514	53670.48031	0
SDSSJ0904+1512	1115047023830	17.67	0.10	136.01737	15.21516	53827.17371	0
SDSSJ0904+1512	1115047023830	17.74	0.10	136.01728	15.21513	53827.17905	0
SDSSJ0904+1512	1115047023830	17.56	0.10	136.01734	15.21511	53827.18442	0
SDSSJ0904+1512	1115047023830	17.69	0.10	136.01733	15.21513	53827.18979	0
SDSSJ0904+1512	1115047023830	17.66	0.10	136.01740	15.21511	53843.14423	0
SDSSJ0904+1512	1115047023830	17.70	0.10	136.01743	15.21517	53843.14955	0
SDSSJ0904+1512	1115047023830	17.63	0.10	136.01737	15.21519	53843.15486	0
SDSSJ0904+1512	1115047023830	17.67	0.10	136.01733	15.21518	53843.16017	0
SDSSJ0904+1512	1115047023830	17.78	0.10	136.01728	15.21504	54081.45287	0
SDSSJ0904+1512	1115047023830	17.81	0.10	136.01732	15.21515	54081.45940	0
SDSSJ0904+1512	1115047023830	17.82	0.10	136.01737	15.21522	54081.46599	0
SDSSJ0904+1512	1115047023830	17.72	0.10	136.01742	15.21497	54081.47262	0
SDSSJ0904+1512	1115047023830	17.84	0.10	136.01730	15.21518	54094.28989	0
SDSSJ0904+1512	1115047023830	17.76	0.10	136.01744	15.21512	54094.30131	0
SDSSJ0904+1512	1115047023830	17.90	0.11	136.01741	15.21510	54094.31269	0
SDSSJ0904+1512	1115047023830	17.77	0.10	136.01744	15.21531	54094.32407	0
SDSSJ0904+1512	1115047023830	17.76	0.10	136.01727	15.21512	53786.19781	0
SDSSJ0904+1512	1115047023830	17.62	0.10	136.01731	15.21520	53786.20536	0
SDSSJ0904+1512	1115047023830	17.72	0.11	136.01737	15.21511	53786.21288	0
SDSSJ0904+1512	1115047023830	17.79	0.11	136.01740	15.21521	53786.22040	0
SDSSJ0904+1512	1115047023830	17.70	0.10	136.01748	15.21515	53745.42688	0
SDSSJ0904+1512	1115047023830	17.78	0.11	136.01742	15.21519	53745.43394	0
SDSSJ0904+1512	1115047023830	17.70	0.10	136.01736	15.21520	53745.44097	0
SDSSJ0904+1512	1115047023830	17.70	0.10	136.01743	15.21510	53745.44796	0
SDSSJ0904+1512	1115047023830	17.55	0.10	136.01750	15.21513	53754.23413	0
SDSSJ0904+1512	1115047023830	17.59	0.10	136.01721	15.21514	53754.24072	0
SDSSJ0904+1512	1115047023830	17.56	0.10	136.01741	15.21515	53754.24731	0
SDSSJ0904+1512	1115047023830	17.64	0.10	136.01735	15.21520	53754.25393	0
SDSSJ0904+1512	1115047023830	17.69	0.10	136.01740	15.21507	53799.23244	0
SDSSJ0904+1512	1115047023830	17.75	0.10	136.01742	15.21514	53799.23819	0
SDSSJ0904+1512	1115047023830	17.71	0.10	136.01736	15.21513	53799.24367	0
SDSSJ0904+1512	1115047023830	17.75	0.10	136.01736	15.21517	53799.24917	0
SDSSJ0904+1512	1115047023830	17.64	0.25	136.01723	15.21535	53866.19353	0
SDSSJ0904+1512	1115047023830	17.90	0.29	136.01711	15.21534	53866.19430	0
SDSSJ0904+1512	1115047023830	18.13	0.32	136.01729	15.21510	53866.19503	0
SDSSJ0904+1512	1115047023830	17.66	0.25	136.01769	15.21514	53866.19586	0
SDSSJ0904+1512	1115047023830	17.63	0.11	136.01732	15.21517	53874.15088	0
SDSSJ0904+1512	1115047023830	17.77	0.11	136.01713	15.21514	53874.15622	0
SDSSJ0904+1512	1115047023830	17.77	0.11	136.01736	15.21519	53874.16158	0
SDSSJ0904+1512	1115047023830	17.78	0.11	136.01729	15.21507	53874.16695	0
SDSSJ0904+1512	1115047023830	17.92	0.11	136.01734	15.21514	53881.14401	0
SDSSJ0904+1512	1115047023830	17.64	0.10	136.01738	15.21514	53881.15324	0
SDSSJ0904+1512	1115047023830	17.89	0.11	136.01728	15.21526	53881.16253	0
SDSSJ0904+1512	1115047023830	17.81	0.11	136.01747	15.21497	53881.17178	0
SDSSJ0904+1512	1115047023830	17.61	0.10	136.01739	15.21501	54053.47495	0
SDSSJ0904+1512	1115047023830	17.80	0.10	136.01739	15.21515	54053.48157	0
SDSSJ0904+1512	1115047023830	17.80	0.10	136.01730	15.21504	54053.48825	0
SDSSJ0904+1512	1115047023830	17.79	0.10	136.01734	15.21504	54053.49484	0
SDSSJ0904+1512	1115047023830	17.85	0.10	136.01735	15.21519	54066.35146	0
SDSSJ0904+1512	1115047023830	17.80	0.10	136.01737	15.21512	54066.36314	0
SDSSJ0904+1512	1115047023830	17.77	0.10	136.01724	15.21512	54066.37477	0
SDSSJ0904+1512	1115047023830	17.85	0.10	136.01736	15.21502	54066.38641	0
SDSSJ0904+1512	1115047023830	17.74	0.10	136.01738	15.21520	54009.49816	0
SDSSJ0904+1512	1115047023830	17.74	0.10	136.01726	15.21512	54009.50035	0
SDSSJ0904+1512	1115047023830	17.78	0.10	136.01750	15.21509	54009.50258	0
SDSSJ0904+1512	1115047023830	17.68	0.10	136.01745	15.21514	54009.50479	0
SDSSJ0904+1512	1115047023830	17.84	0.10	136.01739	15.21516	54027.43741	0
SDSSJ0904+1512	1115047023830	17.79	0.10	136.01737	15.21513	54027.44670	0
SDSSJ0904+1512	1115047023830	17.90	0.11	136.01730	15.21515	54027.45593	0
SDSSJ0904+1512	1115047023830	17.89	0.11	136.01736	15.21510	54027.46515	0
SDSSJ0904+1512	1115047023830	17.66	0.10	136.01733	15.21510	54201.16647	0
SDSSJ0904+1512	1115047023830	17.69	0.10	136.01730	15.21512	54201.17576	0
SDSSJ0904+1512	1115047023830	17.62	0.10	136.01725	15.21508	54201.18506	0
SDSSJ0904+1512	1115047023830	17.60	0.10	136.01734	15.21507	54201.19433	0
SDSSJ0904+1512	1115047023830	17.66	0.10	136.01729	15.21512	54437.37502	0
SDSSJ0904+1512	1115047023830	17.75	0.10	136.01740	15.21519	54437.38782	0
SDSSJ0904+1512	1115047023830	17.74	0.10	136.01725	15.21522	54437.40059	0
SDSSJ0904+1512	1115047023830	17.76	0.10	136.01734	15.21518	54437.41340	0
SDSSJ0904+1512	1115047023830	17.74	0.10	136.01729	15.21514	54448.40834	0
SDSSJ0904+1512	1115047023830	17.80	0.10	136.01742	15.21513	54448.41371	0
SDSSJ0904+1512	1115047023830	17.77	0.10	136.01727	15.21516	54448.41911	0
SDSSJ0904+1512	1115047023830	17.70	0.10	136.01738	15.21513	54448.42448	0
SDSSJ0904+1512	1115047023830	17.70	0.10	136.01734	15.21527	54454.36280	0
SDSSJ0904+1512	1115047023830	17.73	0.10	136.01746	15.21520	54454.36933	0
SDSSJ0904+1512	1115047023830	17.64	0.10	136.01721	15.21513	54454.37590	0
SDSSJ0904+1512	1115047023830	17.76	0.10	136.01740	15.21522	54454.38241	0
SDSSJ0904+1512	1115047023830	17.66	0.10	136.01730	15.21517	54464.36260	0
SDSSJ0904+1512	1115047023830	17.68	0.10	136.01734	15.21511	54464.36917	0
SDSSJ0904+1512	1115047023830	17.75	0.10	136.01744	15.21529	54464.37577	0
SDSSJ0904+1512	1115047023830	17.80	0.10	136.01735	15.21520	54464.38234	0
SDSSJ0904+1512	1115047023830	17.70	0.11	136.01747	15.21511	54138.21386	0
SDSSJ0904+1512	1115047023830	17.74	0.11	136.01740	15.21515	54138.22040	0
SDSSJ0904+1512	1115047023830	17.70	0.11	136.01740	15.21516	54138.22694	0
SDSSJ0904+1512	1115047023830	17.71	0.10	136.01732	15.21507	54138.23348	0
SDSSJ0904+1512	1115047023830	17.50	0.21	136.01752	15.21512	54140.31282	0
SDSSJ0904+1512	1115047023830	17.37	0.19	136.01741	15.21516	54140.31384	0
SDSSJ0904+1512	1115047023830	17.77	0.24	136.01738	15.21504	54140.31485	0
SDSSJ0904+1512	1115047023830	17.88	0.25	136.01745	15.21526	54140.31588	0
SDSSJ0904+1512	1115047023830	17.64	0.10	136.01736	15.21511	54157.21416	0
SDSSJ0904+1512	1115047023830	17.83	0.11	136.01722	15.21515	54109.29182	0
SDSSJ0904+1512	1115047023830	17.67	0.11	136.01743	15.21511	54109.29992	0
SDSSJ0904+1512	1115047023830	17.33	0.11	136.01728	15.21507	54109.30802	0
SDSSJ0904+1512	1115047023830	17.74	0.12	136.01728	15.21502	54109.31611	0
SDSSJ0904+1512	1115047023830	17.80	0.10	136.01745	15.21518	54115.25796	0
SDSSJ0904+1512	1115047023830	17.87	0.10	136.01728	15.21512	54115.26802	0
SDSSJ0904+1512	1115047023830	17.75	0.10	136.01738	15.21506	54115.27807	0
SDSSJ0904+1512	1115047023830	17.88	0.10	136.01743	15.21512	54115.28944	0
SDSSJ0904+1512	1115047023830	17.74	0.10	136.01729	15.21513	54124.37235	0
SDSSJ0904+1512	1115047023830	17.75	0.10	136.01732	15.21519	54124.37890	0
SDSSJ0904+1512	1115047023830	17.70	0.10	136.01738	15.21517	54124.38548	0
SDSSJ0904+1512	1115047023830	17.72	0.10	136.01732	15.21505	54124.39203	0
SDSSJ0904+1512	1115047023830	17.60	0.10	136.01747	15.21521	54168.30357	0
SDSSJ0904+1512	1115047023830	17.63	0.10	136.01726	15.21505	54168.31187	0
SDSSJ0904+1512	1115047023830	17.78	0.10	136.01735	15.21517	54168.32019	0
SDSSJ0904+1512	1115047023830	17.54	0.10	136.01727	15.21521	54168.32848	0
SDSSJ0904+1512	1115047023830	17.71	0.10	136.01713	15.21517	54241.14694	0
SDSSJ0904+1512	1115047023830	17.80	0.11	136.01733	15.21515	54241.15562	0
SDSSJ0904+1512	1115047023830	17.66	0.10	136.01733	15.21519	54241.16429	0
SDSSJ0904+1512	1115047023830	17.70	0.11	136.01737	15.21511	54241.17297	0
SDSSJ0904+1512	1115047023830	17.67	0.10	136.01737	15.21521	54408.44440	0
SDSSJ0904+1512	1115047023830	17.72	0.10	136.01730	15.21528	54408.45094	0
SDSSJ0904+1512	1115047023830	17.85	0.10	136.01745	15.21519	54408.45745	0
SDSSJ0904+1512	1115047023830	17.81	0.10	136.01731	15.21511	54408.46402	0
SDSSJ0904+1512	1115047023830	17.80	0.10	136.01734	15.21520	54411.40561	0
SDSSJ0904+1512	1115047023830	17.69	0.10	136.01736	15.21517	54411.41399	0
SDSSJ0904+1512	1115047023830	17.91	0.11	136.01743	15.21525	54411.42234	0
SDSSJ0904+1512	1115047023830	17.77	0.10	136.01734	15.21525	54411.43070	0
SDSSJ0904+1512	1115047023830	17.81	0.10	136.01733	15.21512	54421.41284	0
SDSSJ0904+1512	1115047023830	17.60	0.10	136.01727	15.21519	54421.42427	0
SDSSJ0904+1512	1115047023830	17.78	0.10	136.01729	15.21522	54421.43571	0
SDSSJ0904+1512	1115047023830	17.71	0.10	136.01730	15.21514	54421.44718	0
SDSSJ0904+1512	1115047023830	17.76	0.10	136.01749	15.21515	54380.47774	0
SDSSJ0904+1512	1115047023830	17.72	0.10	136.01734	15.21523	54380.48266	0
SDSSJ0904+1512	1115047023830	17.64	0.10	136.01738	15.21526	54380.48757	0
SDSSJ0904+1512	1115047023830	17.68	0.10	136.01747	15.21507	54380.49248	0
SDSSJ0904+1512	1115047023830	17.75	0.16	136.01775	15.21544	54364.51460	0
SDSSJ0904+1512	1115047023830	16.33	0.09	136.01766	15.21546	54364.51583	0
SDSSJ0904+1512	1115047023830	17.71	0.10	136.01736	15.21525	54559.12251	0
SDSSJ0904+1512	1115047023830	17.62	0.10	136.01734	15.21521	54559.13062	0
SDSSJ0904+1512	1115047023830	17.63	0.10	136.01748	15.21529	54559.13873	0
SDSSJ0904+1512	1115047023830	17.60	0.10	136.01731	15.21514	54559.14680	0
SDSSJ0904+1512	1115047023830	17.72	0.10	136.01737	15.21518	54567.15576	0
SDSSJ0904+1512	1115047023830	17.73	0.10	136.01739	15.21517	54567.16221	0
SDSSJ0904+1512	1115047023830	17.56	0.10	136.01738	15.21532	54567.17023	0
SDSSJ0904+1512	1115047023830	17.80	0.10	136.01745	15.21516	54567.17821	0
SDSSJ0904+1512	1115047023830	17.53	0.10	136.01723	15.21517	54574.20082	0
SDSSJ0904+1512	1115047023830	17.61	0.10	136.01730	15.21500	54574.20957	0
SDSSJ0904+1512	1115047023830	17.80	0.11	136.01740	15.21512	54574.21835	0
SDSSJ0904+1512	1115047023830	17.65	0.10	136.01731	15.21529	54574.22714	0
SDSSJ0904+1512	1115047023830	17.64	0.10	136.01738	15.21511	54580.16393	0
SDSSJ0904+1512	1115047023830	17.68	0.10	136.01734	15.21515	54580.17037	0
SDSSJ0904+1512	1115047023830	17.70	0.10	136.01731	15.21524	54580.17679	0
