# InputID	ID	Mag	Magerr	RA	Decl	MJD	Blend
J0011-0845	1009002045103	18.72	0.15	 2.83540	-8.76436	55510.18020	0
J0011-0845	1009002045103	19.07	0.18	 2.83444	-8.76413	55510.18712	0
J0011-0845	1009002045103	19.60	0.19	 2.83430	-8.76395	55857.30165	0
J0011-0845	1009002045103	19.12	0.15	 2.83403	-8.76405	55857.31200	0
J0011-0845	1009002045103	19.21	0.16	 2.83409	-8.76417	55857.32239	0
J0011-0845	1009002045103	18.64	0.13	 2.83489	-8.76434	55857.33275	0
J0011-0845	1009002045103	19.62	0.20	 2.83430	-8.76395	55857.30165	0
J0011-0845	1009002045103	19.27	0.17	 2.83411	-8.76411	55857.31200	0
J0011-0845	1009002045103	19.40	0.18	 2.83409	-8.76419	55857.32239	0
J0011-0845	1009002045103	18.78	0.14	 2.83490	-8.76441	55857.33275	0
J0011-0845	1009002045103	19.09	0.18	 2.83467	-8.76433	55824.35631	0
J0011-0845	1009002045103	20.05	0.29	 2.83462	-8.76433	55824.36317	0
J0011-0845	1009002045103	18.64	0.14	 2.83450	-8.76424	55824.36994	0
J0011-0845	1009002045103	19.63	0.23	 2.83440	-8.76408	55824.37685	0
J0011-0845	1009002045103	19.25	0.19	 2.83435	-8.76442	55833.30878	0
J0011-0845	1009002045103	19.26	0.19	 2.83441	-8.76407	55833.31552	0
J0011-0845	1009002045103	19.53	0.22	 2.83452	-8.76442	55833.31896	0
J0011-0845	1009002045103	19.28	0.19	 2.83446	-8.76448	55849.29167	0
J0011-0845	1009002045103	19.45	0.21	 2.83407	-8.76417	55849.31714	0
J0011-0845	1009002045103	19.22	0.19	 2.83475	-8.76433	55882.14651	0
J0011-0845	1009002045103	19.31	0.19	 2.83425	-8.76456	55882.15213	0
J0011-0845	1009002045103	19.56	0.22	 2.83432	-8.76433	55882.15775	0
J0011-0845	1009002045103	19.67	0.23	 2.83437	-8.76420	55882.16343	0
J0011-0845	1009002045103	19.17	0.18	 2.83452	-8.76383	55929.10389	0
J0011-0845	1009002045103	19.18	0.18	 2.83438	-8.76403	55929.10897	0
J0011-0845	1009002045103	19.92	0.27	 2.83418	-8.76427	55929.11408	0
J0011-0845	1009002045103	19.45	0.28	 2.83385	-8.76387	56152.34344	0
J0011-0845	1009002045103	19.06	0.15	 2.83459	-8.76404	56167.31610	0
J0011-0845	1009002045103	19.66	0.20	 2.83482	-8.76399	56167.32385	0
J0011-0845	1009002045103	19.44	0.18	 2.83455	-8.76450	56167.33177	0
J0011-0845	1009002045103	19.08	0.15	 2.83522	-8.76445	56167.33971	0
J0011-0845	1009002045103	19.08	0.16	 2.83452	-8.76379	56185.30578	0
J0011-0845	1009002045103	19.49	0.19	 2.83450	-8.76407	56185.31729	0
J0011-0845	1009002045103	19.27	0.17	 2.83458	-8.76417	56185.32883	0
J0011-0845	1009002045103	19.64	0.20	 2.83448	-8.76424	56185.34040	0
J0011-0845	1009002045103	19.50	0.22	 2.83420	-8.76427	56208.27507	0
J0011-0845	1009002045103	18.95	0.17	 2.83454	-8.76437	56208.28009	0
J0011-0845	1009002045103	19.46	0.22	 2.83481	-8.76407	56208.28514	0
J0011-0845	1009002045103	19.32	0.20	 2.83427	-8.76411	56208.29021	0
J0011-0845	1009002045103	18.88	0.17	 2.83452	-8.76335	56218.25388	0
J0011-0845	1009002045103	19.29	0.20	 2.83453	-8.76437	56218.25843	0
J0011-0845	1009002045103	19.63	0.24	 2.83418	-8.76418	56218.26299	0
J0011-0845	1009002045103	18.97	0.15	 2.83435	-8.76419	56274.08603	0
J0011-0845	1009002045103	19.52	0.19	 2.83431	-8.76405	56274.09142	0
J0011-0845	1009002045103	19.03	0.15	 2.83435	-8.76427	56274.09683	0
J0011-0845	1009002045103	19.02	0.15	 2.83434	-8.76433	56274.10228	0
J0011-0845	1009002045103	19.01	0.18	 2.83435	-8.76408	56547.29166	0
J0011-0845	1009002045103	19.24	0.21	 2.83462	-8.76410	56547.29838	0
J0011-0845	1009002045103	19.39	0.22	 2.83463	-8.76428	56547.30511	0
J0011-0845	1009002045103	19.59	0.24	 2.83437	-8.76411	56547.31180	0
J0011-0845	1009002045103	19.39	0.20	 2.83427	-8.76422	56559.30868	0
J0011-0845	1009002045103	17.04	0.08	 2.83549	-8.76435	56559.32229	0
J0011-0845	1009002045103	18.82	0.16	 2.83420	-8.76426	56564.37986	0
J0011-0845	1009002045103	19.92	0.28	 2.83491	-8.76336	56590.19350	0
J0011-0845	1009002045103	19.53	0.23	 2.83419	-8.76346	56590.20112	0
J0011-0845	1009002045103	19.46	0.22	 2.83416	-8.76368	56590.21634	0
J0011-0845	1009002045103	19.99	0.28	 2.83442	-8.76418	56596.19256	0
J0011-0845	1009002045103	18.72	0.15	 2.83450	-8.76415	56596.21296	0
J0011-0845	3009002015093	19.30	0.57	 2.83461	-8.76423	53598.66568	0
J0011-0845	3009002015093	19.84	0.55	 2.83434	-8.76421	53947.61656	0
J0011-0845	3009002015093	19.76	0.52	 2.83444	-8.76417	53947.64110	0
J0011-0845	3009002015093	18.98	0.43	 2.83463	-8.76378	53880.77705	0
J0011-0845	3009002015093	19.75	0.45	 2.83453	-8.76437	54684.63703	0
J0011-0845	3009002015093	20.23	0.60	 2.83455	-8.76421	54684.64904	0
J0011-0845	3009002015093	19.66	0.80	 2.83440	-8.76423	54684.66107	0
J0011-0845	3009002015093	19.43	0.43	 2.83458	-8.76405	54684.69963	0
J0011-0845	3009002015093	19.10	0.39	 2.83469	-8.76444	54652.81473	0
J0011-0845	3009002015093	19.85	0.60	 2.83467	-8.76439	54652.82147	0
J0011-0845	3009002015093	19.20	0.41	 2.83443	-8.76416	54652.82783	0
J0011-0845	3009002015093	17.73	0.16	 2.83529	-8.76454	55731.72888	0
J0011-0845	3009002015093	19.30	0.35	 2.83434	-8.76403	55772.65298	0
J0011-0845	3009002015093	18.93	0.28	 2.83434	-8.76360	55772.66611	0
J0011-0845	3009002015093	19.69	0.43	 2.83455	-8.76436	55772.67919	0
J0011-0845	3009002015093	19.39	0.36	 2.83464	-8.76436	55772.69236	0
J0011-0845	3009002015093	19.22	0.30	 2.83465	-8.76426	55802.67362	0
J0011-0845	3009002015093	19.16	0.27	 2.83438	-8.76421	55802.68634	0
J0011-0845	3009002015093	20.06	0.45	 2.83465	-8.76420	55802.69914	0
J0011-0845	3009002015093	19.51	0.46	 2.83432	-8.76432	56475.72498	0
J0011-0845	3009002015093	20.00	0.61	 2.83479	-8.76429	56475.73276	0
J0011-0845	3009002015093	19.37	0.42	 2.83404	-8.76443	56475.74055	0
J0228+3953	1140011013334	18.62	0.14	37.04591	39.88487	53706.33242	0
J0228+3953	1140011013334	18.55	0.14	37.04592	39.88530	53706.34090	0
J0228+3953	1140011013334	18.95	0.16	37.04617	39.88523	53706.34926	0
J0228+3953	1140011013334	18.50	0.14	37.04605	39.88483	53706.35748	0
J0228+3953	1140011013334	19.08	0.21	37.04580	39.88525	53712.24070	0
J0228+3953	1140011013334	19.15	0.20	37.04596	39.88530	53712.24938	0
J0228+3953	1140011013334	19.06	0.17	37.04618	39.88522	53712.25805	0
J0228+3953	1140011013334	19.10	0.18	37.04585	39.88496	53712.26676	0
J0228+3953	1140011013334	18.61	0.14	37.04586	39.88499	53734.20705	0
J0228+3953	1140011013334	18.90	0.16	37.04620	39.88502	53734.21405	0
J0228+3953	1140011013334	19.01	0.17	37.04616	39.88497	53734.22105	0
J0228+3953	1140011013334	19.31	0.19	37.04585	39.88492	53734.22807	0
J0228+3953	1140011013334	18.41	0.13	37.04629	39.88487	53679.33545	0
J0228+3953	1140011013334	18.56	0.14	37.04610	39.88541	53679.34129	0
J0228+3953	1140011013334	18.92	0.16	37.04598	39.88505	53679.34711	0
J0228+3953	1140011013334	18.92	0.16	37.04607	39.88502	53679.35338	0
J0228+3953	1140011013334	18.86	0.16	37.04577	39.88457	53694.24248	0
J0228+3953	1140011013334	19.05	0.17	37.04608	39.88496	53694.25142	0
J0228+3953	1140011013334	19.03	0.17	37.04598	39.88563	53694.26083	0
J0228+3953	1140011013334	18.95	0.16	37.04593	39.88494	53694.27025	0
J0228+3953	1140011013334	18.28	0.13	37.04646	39.88465	53643.41581	0
J0228+3953	1140011013334	18.69	0.15	37.04649	39.88502	53643.42420	0
J0228+3953	1140011013334	18.67	0.15	37.04597	39.88521	53643.43253	0
